2026-04-09 15:50:54  [ERROR]  Watch folder does not exist: data
2026-04-09 15:51:11  [ERROR]  Watch folder does not exist: data
2026-04-09 15:52:18  [INFO]  ============================================================
2026-04-09 15:52:18  [INFO]    Watcher Service started
2026-04-09 16:12:35  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:13:05  [INFO]  ── Cycle #39 ─────────────────────────────────
2026-04-09 16:13:08  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:13:38  [INFO]  ── Cycle #40 ─────────────────────────────────
2026-04-09 16:13:40  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:14:11  [INFO]  ── Cycle #41 ─────────────────────────────────
2026-04-09 16:14:21  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:14:51  [INFO]  ── Cycle #42 ─────────────────────────────────
2026-04-09 16:15:01  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:15:31  [INFO]  ── Cycle #43 ─────────────────────────────────
2026-04-09 16:15:56  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:16:26  [INFO]  ── Cycle #44 ─────────────────────────────────
2026-04-09 16:16:29  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:16:59  [INFO]  ── Cycle #45 ─────────────────────────────────
2026-04-09 16:17:02  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:17:32  [INFO]  ── Cycle #46 ─────────────────────────────────
2026-04-09 16:17:35  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:18:05  [INFO]  ── Cycle #47 ─────────────────────────────────
2026-04-09 16:18:07  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:18:37  [INFO]  ── Cycle #48 ─────────────────────────────────
2026-04-09 16:18:40  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:19:10  [INFO]  ── Cycle #49 ─────────────────────────────────
2026-04-09 16:19:12  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:19:42  [INFO]  ── Cycle #50 ─────────────────────────────────
2026-04-09 16:19:45  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:20:15  [INFO]  ── Cycle #51 ─────────────────────────────────
2026-04-09 16:20:18  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:20:48  [INFO]  ── Cycle #52 ─────────────────────────────────
2026-04-09 16:20:52  [INFO]     found=45  inserted=0  skipped=45  failed=0
2026-04-09 16:21:22  [INFO]  ── Cycle #53 ─────────────────────────────────
2026-04-09 16:21:25  [INFO]     found=45  inserted=0  skipped=45  failed=0
